,SiO2,TiO2,Al2O3,Cr2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,NiO,ZnO,Li2O,ZrO2,V2O5,换算系数,Si,Ti,Al,Cr,Fe,Mn,Mg,Ca,Na,K,P,Ni,Zn,Li,Zr,V,Fe_projected,Mg_projected,Ca_projected
24,49.73,1e-07,0.1,1e-07,38.86,1e-07,11.6,1e-07,1e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.412520129345876,1.9968148400108252,3.0207476733811757e-09,0.004732333838789859,3.1745983319133304e-09,1.3049180478033064,3.400933404775894e-09,0.6943537490177689,4.302156194778386e-09,7.785211060057362e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6526966703927785,0.3473033274553599,2.1518615889852234e-09
25,49.03,1e-07,0.01,1e-07,40.66,0.02,9.88,0.01,1e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.455076659253134,2.0034353910953375,3.0740332551845412e-09,0.00048158115698528504,3.2305978185962586e-09,1.3894468148381551,0.0006921850823274551,0.6018300266331124,0.00043780456501830224,7.922541133817815e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6976133943701701,0.30216679273349484,0.00021981289633511394
26,48.37,1e-07,0.06,1e-07,42.89,0.04,7.84,0.03,1e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4953421789415136,2.0088827321438845,3.124450233445832e-09,0.002936877190566616,3.2835825999796215e-09,1.489689132771025,0.0014070751111219893,0.4853980419536886,0.00133495489003059,8.052478109432576e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7537302433774126,0.2455943164572364,0.0006754401653511172
27,47.47,1e-07,0.01,1e-07,46.61,1e-07,5.42,0.02,1e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.538024794861416,2.005226719905321,3.1778936891772566e-09,0.0004978520375565503,3.339748001317748e-09,1.6465861545639247,3.5778575283158523e-09,0.34130841574406695,0.0009051927866545698,8.190215063205433e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8279295810060715,0.17161527373322813,0.00045514526070038154
28,46.27,1e-07,1e-07,1e-07,50.34,1e-07,2.47,1e-07,1e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.606234699557932,2.007064886050056,3.263300193523987e-09,5.11231906856272e-09,3.4295043714452124e-09,1.826149083789131,3.674013137795413e-09,0.15972111224464303,4.647600084808267e-09,8.410328668886625e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9195712202955455,0.08042877736412025,2.3403342691851784e-09
29,44.81,1e-07,1e-07,1e-07,54.35,0.02,1e-07,0.01,1e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.66836997017369,1.9900747027192893,3.3411005699288673e-09,5.234201924643611e-09,3.5112672235144514e-09,2.018622402412728,0.0007523210652194736,6.620608302336467e-09,0.0004758403570400859,8.610839408728043e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9997643269822098,3.2789926415593776e-09,0.00023566973879738426
30,52.61,0.0,0.0,0.0,24.15,0.0,4.06,7.12,9.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4286856836207416,2.1266107520477875,0.0,0.0,0.0,0.8163905024698084,0.0,0.24465223986453477,0.30836603362126497,0.7547394398976311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5961627505272196,0.1786553760719185,0.22518187340086188
31,53.31,0.0,0.0,0.0,15.81,0.0,9.25,14.36,5.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3300414648876266,2.067381963170271,0.0,0.0,0.0,0.5127492283262817,0.0,0.5347579284986737,0.5966687846316014,0.44212026440580354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31185788296600603,0.32524373761663106,0.36289837941736297
32,54.2,0.0,0.0,0.0,5.38,0.0,15.23,22.67,1.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2322908145757867,2.013717060566344,0.0,0.0,0.0,0.16716391880209527,0.0,0.8435338702359377,0.902438303875619,0.11885957190732199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08737690926499085,0.4409168136864009,0.4717062770486082
33,53.79,0.0,0.0,0.0,15.06,0.0,9.74,13.3,6.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.323849665284472,2.0804532645781957,0.0,0.0,0.0,0.48712733087222526,0.0,0.5615893147050108,0.5511564553789161,0.47844073977491425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30447873058250513,0.3510211618467622,0.3445001075707327
