,TRUE VALUE,SiO2 (wt. %),TiO2 (wt. %),Al2O3 (wt. %),Cr2O3 (wt. %),FeO (wt. %),MnO (wt. %),MgO (wt. %),CaO (wt. %),Na2O  (wt. %),IV (Al),H2O (wt. %),km_clustering_label,ap_clustering_label
1771,1,48.213,2.666,5.373,0.044,7.328,0.089,12.624,22.789,0.495,0.191415987448928,0.0344943889127369,0,1
1772,1,49.88,1.504,4.673,0.834,6.833,0.143,13.758,21.86,0.426,0.146621120521669,0.0254901138311985,0,4
1773,-1,52.193,1.005,3.362,0.14,6.865,0.152,15.467,20.442,0.436,0.0819128311421105,1e-07,1,3
1774,1,49.112,1.635,5.415,0.746,6.278,0.095,13.946,22.158,0.348,0.173557685954089,0.0437112896302202,0,4
1775,-1,50.857,1.066,3.956,0.639,7.619,0.109,16.192,18.521,0.311,0.114581410774813,0.00616691174264022,1,2
1776,1,51.402,0.502,3.504,0.35,8.459,0.097,18.07,16.629,0.425,0.101960733563539,0.0120456662320036,1,2
1777,-1,51.527,1.06,2.828,0.036,6.644,0.15,15.326,21.033,0.343,0.0813039826593729,0.00149858956276446,1,6
1778,1,49.603,2.179,3.929,0.054,6.911,0.058,13.187,24.206,0.425,0.155260555627082,0.0204513399153738,0,1
1779,-1,52.198,1.123,2.953,0.109,6.822,0.061,15.339,21.694,0.369,0.0863255450545453,0.00199904490076963,1,6
1780,1,51.962,1.183,3.0,0.197,6.879,0.108,15.236,21.278,0.402,0.0871190368403769,0.0209338579170069,1,6
1781,1,49.722,2.024,3.892,0.159,6.749,0.091,13.66,22.597,0.341,0.137599499105687,0.0497801377250477,0,4
1782,-1,50.175,2.033,3.861,0.074,7.863,0.152,13.711,21.863,0.405,0.133426222691781,0.00292376702351499,0,4
1783,1,47.083,2.295,6.848,0.064,7.213,0.107,13.58,21.73,0.449,0.233077530645602,0.00493273299338179,0,7
1784,1,50.149,0.968,5.258,0.809,5.092,0.081,14.17,22.693,0.887,0.150035475822564,0.0223655047350393,0,4
1785,-1,46.972,2.275,6.103,0.026,7.503,0.084,13.014,22.645,0.391,0.222923298663178,0.0228451893706681,0,7
1786,1,49.112,2.335,4.087,0.005,6.697,0.072,13.129,23.757,0.47,0.15953392376353,0.0347184550287512,0,1
1787,-1,46.748,2.763,6.567,0.019,7.371,0.15,13.248,22.289,0.508,0.243599019435911,0.0930990126939351,0,7
1788,1,50.335,1.909,2.969,0.001,5.536,0.068,13.704,23.769,0.526,0.111566289981236,0.0322585149911324,0,0
1789,1,49.479,1.663,4.893,0.941,5.997,0.046,14.752,21.715,0.405,0.166617867768369,0.00447710113664648,0,4
1790,1,48.71028,2.74013,5.35502,0.07878,7.05182,0.07171,12.64116,22.64319,0.43632,0.180118209017631,0.0304357508722441,0,1
1791,1,50.684,0.862,3.26,0.958,6.682,0.14,15.676,20.624,0.359,0.112120104427038,0.00784203102961918,1,6
1792,1,51.26,1.527,2.041,0.012,6.041,0.124,14.042,24.1,0.591,0.0890775739683005,0.0264456981664316,1,0
1793,1,50.121,1.466,5.071,0.651,7.262,0.101,13.676,21.722,0.395,0.148130994706439,0.0304622060389741,0,4
1794,-1,51.984,0.907,2.19,0.583,6.184,0.112,16.389,21.041,0.293,0.0802805568987053,0.00376107725470368,1,3
1795,-1,49.953,1.339,4.058,0.654,6.707,0.074,14.0,22.334,0.424,0.135739018404242,0.00185659595290867,0,4
1796,-1,51.173,0.454,3.359,0.963,3.622,0.087,16.945,23.103,0.21955,0.119255707822391,0.0195476153163036,1,5
1797,-1,51.338,0.962,4.64,0.481,6.412,0.183,15.363,19.739,0.561,0.110670557644257,0.00135256067311901,1,6
1798,1,49.774,1.71,4.362,0.432,7.467,0.074,13.029,22.538,0.411,0.140674768768351,0.032808146135058,0,1
1799,1,49.06,1.655,5.153,0.597,6.187,0.062,14.625,21.428,0.306,0.16835835337974,0.00443864598025388,0,4
1800,-1,52.199,0.834,2.82,0.144,7.456,0.129,16.23,19.43,0.418,0.0735454723721118,0.0045216958433585,1,2
1801,1,48.069,2.76,4.731,0.001,6.517,0.095,12.9,23.527,0.468,0.187280943332712,0.0216099133588555,0,1
1802,1,51.087,1.921,2.812,0.081,5.633,0.12,13.577,23.419,0.628,0.095188578885899,0.0236455654193977,1,0
1803,1,50.2536666666667,0.992,3.837,0.431,6.45166666666667,0.09,15.1766666666667,21.484,0.373333333333333,0.124866506116434,0.0258851584197287,1,4
1804,-1,51.723,1.153,3.566,0.027,7.637,0.118,14.058,21.271,0.426,0.0865281796026434,0.0023322190508979,1,6
1805,-1,46.784,2.732,6.362,0.043,7.511,0.155,13.275,22.023,0.452,0.237136211135204,0.0271512566485972,0,7
1806,-1,50.042,1.876,3.923,0.013,7.854,0.175,13.418,22.174,0.393,0.131837458852972,0.00392357994614694,0,4
1807,1,50.272,1.934,3.766,0.173,7.198,0.125,13.344,22.589,0.736,0.129899923704022,0.0368653032440056,0,4
1808,1,50.636,1.452,3.323,0.418,6.245,0.067,15.194,22.226,0.254,0.122428558785724,0.00624026491690685,1,6
1809,1,48.998,2.227,3.477,0.019,6.228,0.068,13.169,23.963,0.538,0.146639600771636,0.0211565585331453,0,1
1810,1,47.641,2.388,4.72,0.024,7.168,0.053,12.54,23.757,0.43,0.189098858136746,0.0181341930284102,0,1
1811,1,47.945,2.646,4.772,0.114,6.757,0.093,12.726,23.686,0.465,0.19048926207092,0.0188058298072402,0,1
